Search_ID,Case_Name,Citation,Year,Exclusion_Reason,First_Pass_Likely_Case_Type
westlaw_100_full_text_items_for_appendectomy10_0089,"Norman BURKE, Plaintiff,
v.
ARAMARK CORRECTIONAL SERVICES, et al., Defendants.",2025 WL 814849,2026,Is_Malpractice_Case=NO; Appendicitis_Index=NO; Harm=NO,unclear
westlaw_100_full_text_items_for_appendectomy10_0090,"Jeffrey Brian SCHMITT, Plaintiff,
v.
COMMISSIONER OF SOCIAL SECURITY, Defendant,",2021 WL 5236349,2026,Is_Malpractice_Case=NO; Appendicitis_Index=NO; Harm=NO,unclear
westlaw_100_full_text_items_for_appendectomy10_0091,"Reversed by Smith v. Christus Saint Michaels Health System, 5th Cir.(Tex.), November 13, 2012",2011 WL 13217844,2026,Appendicitis_Index=NO; Harm=NO,unclear
westlaw_100_full_text_items_for_appendectomy10_0092,"John E. HEDRICK, Plaintiff,
v.
Carolyn W. COLVIN, Acting Commissioner of the Social Security Administration, Defendant.",2015 WL 5003658,2026,Is_Malpractice_Case=NO; Appendicitis_Index=NO; Harm=NO,incidental_history
westlaw_100_full_text_items_for_appendectomy10_0093,"ALLA Z., Plaintiff,
v.
Nancy A. BERRYHILL, Acting Commissioner of Social Security, Defendant.",2018 WL 4704060,2026,Is_Malpractice_Case=NO; Appendicitis_Index=NO; Harm=NO,incidental_history
westlaw_100_full_text_items_for_appendectomy10_0094,"Franklin WOODS, Plaintiff,
v.
ARAMARK CORRECTIONAL SERVICES, et al., Defendants.",2025 WL 814839,2026,Is_Malpractice_Case=NO; Appendicitis_Index=NO; Harm=NO,unclear
westlaw_100_full_text_items_for_appendectomy10_0095,"James E. BRADLEY, Jr., on behalf of JAMES E. BRADLEY, III,1 Plaintiff,
v.
COMMISSIONER OF SOCIAL SECURITY, Defendant.",2021 WL 3928433,2026,Is_Malpractice_Case=NO; Appendicitis_Index=NO; Harm=NO,unclear
westlaw_100_full_text_items_for_appendectomy10_0096,"Declined to Follow by M. Berenson Co., Inc. v. Faneuil Hall Marketplace, Inc., D.Mass., June 1, 1987",618 F.Supp. 735,2026,Is_Malpractice_Case=NO; Appendicitis_Index=NO; Harm=NO,unclear
westlaw_100_full_text_items_for_appendectomy10_0097,"Joseph A. TRENTON, Plaintiff,
v.
Karen BARCKLAY, et al., Defendants.",2008 WL 2668766,2026,Is_Malpractice_Case=NO; Appendicitis_Index=NO; Harm=NO,unclear
westlaw_100_full_text_items_for_appendectomy10_0099,"Paul V. WILLIAMS, Jr., Plaintiff,
v.
Kilolo KIJAKAZI, Defendant.",2023 WL 5939884,2026,Is_Malpractice_Case=NO; Appendicitis_Index=NO; Harm=NO,unclear
westlaw_100_full_text_items_for_appendectomy11_0000,"Michael J. ALVAREZ, Plaintiff,
v.
Michael J. ASTRUE, Commissioner of Social Security, Defendant.",2010 WL 3853035,2010,Is_Malpractice_Case=NO; Appendicitis_Index=NO; Harm=NO,incidental_history
westlaw_100_full_text_items_for_appendectomy11_0001,"Ruth Fay GRASS, Plaintiff,
v.
Nancy A. BERRYHILL,1 Acting Commissioner of Social Security, Defendant.",2019 WL 1450595,2026,Is_Malpractice_Case=NO; Appendicitis_Index=NO; Harm=NO,unclear
westlaw_100_full_text_items_for_appendectomy11_0002,"Suzanne M. STROM, Plaintiff,
v.
Carolyn W. COLVIN, Acting Commissioner of Social Security, Defendant.",2014 WL 3767860,2026,Is_Malpractice_Case=NO; Appendicitis_Index=NO; Harm=NO,unclear
westlaw_100_full_text_items_for_appendectomy11_0003,"Joseph VERHEST, Plaintiff,
v.
Michael J. ASTRUE, Commissioner of Social Security, Defendant.",2010 WL 11626984,2026,Is_Malpractice_Case=NO; Appendicitis_Index=NO; Harm=NO,unclear
westlaw_100_full_text_items_for_appendectomy11_0004,"Tamela ROADES, Plaintiff,
v.
Michael J. ASTRUE, Commissioner of Social Security, Defendant.",861 F.Supp.2d 983,2026,Is_Malpractice_Case=NO; Appendicitis_Index=NO; Harm=NO,unclear
westlaw_100_full_text_items_for_appendectomy11_0005,"DAVID S., Plaintiff,
v.
COMMISSIONER OF SOCIAL SECURITY, Defendant.",2023 WL 8891451,2026,Is_Malpractice_Case=NO; Appendicitis_Index=NO; Harm=NO,incidental_history
westlaw_100_full_text_items_for_appendectomy11_0006,"Michael Preston ESTES, Plaintiff,
v.
Nancy A. BERRYHILL, Acting Commissioner of Social Security Administration, Defendant.",2017 WL 2484925,2026,Is_Malpractice_Case=NO; Appendicitis_Index=NO; Harm=NO,unclear
westlaw_100_full_text_items_for_appendectomy11_0007,"Theresa ROBINSON, an individual, Plaintiff,
v.
MICHAEL ASTRUE Commissioner of Social Security, Defendant.",2011 WL 1261187,2026,Is_Malpractice_Case=NO; Appendicitis_Index=NO; Harm=NO,unclear
westlaw_100_full_text_items_for_appendectomy11_0008,"MELODY J. D., Plaintiff,
v.
Nancy A. BERRYHILL, Deputy Commissioner of Operations, Social Security Administration, Defendant.",2019 WL 339619,2026,Is_Malpractice_Case=NO; Appendicitis_Index=NO; Harm=NO,incidental_history
westlaw_100_full_text_items_for_appendectomy11_0009,"Ronald SANDERS, Plaintiff,
v.
Terry O’BRIEN, Walter Dobushak, Inerio Alarion, Mr. Ahazumma, Mr. Weaver and Mr. Boyles, Defendants.",2011 WL 2972089,2026,Appendicitis_Index=NO; Harm=NO,delayed_diagnosis
westlaw_100_full_text_items_for_appendectomy11_0010,"Venessa HUNTINGTON, Plaintiff,
v.
Carolyn W. COLVIN, Acting Commissioner of Social Security, Defendant.",2014 WL 5506726,2026,Is_Malpractice_Case=NO; Appendicitis_Index=NO; Harm=NO,unclear
westlaw_100_full_text_items_for_appendectomy11_0011,"Declined to Extend by Pearson v. Michigan Department of Corrections, 6th Cir.(Mich.), March 26, 2026",2020 WL 4583658,2026,Is_Malpractice_Case=NO; Appendicitis_Index=NO; Harm=NO,unclear
westlaw_100_full_text_items_for_appendectomy11_0012,"Reversed and Remanded by Hoffman v. Screen Actors Guild-Producers Pension Plan, 9th Cir.(Cal.), April 28, 2014",2012 WL 12887076,2026,Is_Malpractice_Case=NO; Appendicitis_Index=NO; Harm=NO,unclear
westlaw_100_full_text_items_for_appendectomy11_0013,"Lance KING, Plaintiff,
v.
ARAMARK CORRECTIONAL SERVICES, et al., Defendants.",2025 WL 815760,2026,Is_Malpractice_Case=NO; Appendicitis_Index=NO; Harm=NO,unclear
westlaw_100_full_text_items_for_appendectomy11_0014,"Edward Dawkins v. Lt. Larry Jones, et al.",2005 WL 196537,2005,"Case does not involve appendicitis or appendectomy; medical claims relate to sleep apnea and other issues, not appendectomy.; Appendicitis_Index=NO; Harm=NO",delayed_diagnosis
westlaw_100_full_text_items_for_appendectomy11_0015,"Nina KESTNER, Plaintiff,
v.
The STANTON GROUP, INC. and, LBMC Employment Partners, LLC, Defendants.",2005 WL 6130103,2026,Is_Malpractice_Case=NO; Appendicitis_Index=NO; Harm=NO,unclear
westlaw_100_full_text_items_for_appendectomy11_0016,"Judgment Reversed by Morgan v. U.S., E.D.N.Y., June 30, 1991",1988 WL 138404,2026,Appendicitis_Index=NO; Harm=NO,unclear
westlaw_100_full_text_items_for_appendectomy11_0017,,2014 WL 4854990,2026,Is_Malpractice_Case=UNKNOWN; Appendicitis_Index=UNKNOWN; Harm=UNKNOWN,unclear
westlaw_100_full_text_items_for_appendectomy11_0018,"Tobie L. SEXTON, Plaintiff
v.
Andrew M. SAUL, Commissioner of Social Security, Defendant",2021 WL 99977,2026,Is_Malpractice_Case=NO; Appendicitis_Index=NO; Harm=NO,unclear
westlaw_100_full_text_items_for_appendectomy11_0019,"Michael David TYLER, Plaintiff,
v.
COMMISSIONER OF SOCIAL SECURITY, Defendant.",2014 WL 1338795,2026,Is_Malpractice_Case=UNKNOWN; Appendicitis_Index=UNKNOWN; Harm=UNKNOWN,unclear
westlaw_100_full_text_items_for_appendectomy11_0020,"Distinguished by Lunney v. Brureton, S.D.N.Y., May 29, 2007",2001 WL 476070,2026,Is_Malpractice_Case=NO; Appendicitis_Index=NO; Harm=NO,unclear
westlaw_100_full_text_items_for_appendectomy11_0021,"Report and Recommendation Rejected by Proctor v. Colvin, S.D.W.Va., January 17, 2017",2016 WL 11269930,2026,Is_Malpractice_Case=NO; Appendicitis_Index=NO; Harm=NO,unclear
westlaw_100_full_text_items_for_appendectomy11_0022,"Trecia R. BARROW, Plaintiff,
v.
Larry G. MASSANARI,1Acting Commissioner of Social Security, Defendant.",2001 WL 741718,2026,Is_Malpractice_Case=NO; Appendicitis_Index=NO; Harm=NO,incidental_history
westlaw_100_full_text_items_for_appendectomy11_0023,"Denise Dawn DONAHUE, Plaintiff,
v.
Michael J. ASTRUE, Commissioner of Social Security, Defendant.",2012 WL 4118193,2026,Is_Malpractice_Case=NO; Appendicitis_Index=NO; Harm=NO,unclear
westlaw_100_full_text_items_for_appendectomy11_0024,"Sherry D. BAKER, Plaintiff,
v.
The PRUDENTIAL INSURANCE COMPANY OF AMERICA, Defendant.",2008 WL 11509975,2026,Is_Malpractice_Case=NO; Appendicitis_Index=NO; Harm=NO,payment_dispute
westlaw_100_full_text_items_for_appendectomy11_0025,"Distinguished by French v. Daviess County, Ky., 6th Cir.(Ky.), May 5, 2010",2007 WL 3244437,2026,Appendicitis_Index=NO; Harm=NO,delayed_diagnosis
westlaw_100_full_text_items_for_appendectomy11_0026,"Rebecca A. REDMAN, Plaintiff
v.
Andrew SAUL,1 Commissioner of Social Security, Defendant",2020 WL 3107896,2026,Is_Malpractice_Case=NO; Appendicitis_Index=NO; Harm=NO,unclear
westlaw_100_full_text_items_for_appendectomy11_0027,"Abrogation Recognized by Rivera-Herrera v. Kijakazi, E.D.Cal., November 22, 2021",2019 WL 6683134,2026,Is_Malpractice_Case=NO; Appendicitis_Index=NO; Harm=NO,unclear
westlaw_100_full_text_items_for_appendectomy11_0028,"Distinguished by Pharmaceutical Research and Manufacturers of America v. Stolfi, D.Or., March 19, 2024",468 F.Supp.3d 372,2026,Is_Malpractice_Case=NO; Appendicitis_Index=NO; Harm=NO,unclear
westlaw_100_full_text_items_for_appendectomy11_0029,"CHEMICAL BANK & TRUST CO. et al.
v.
EARLY.",67 F.Supp. 530,2026,Is_Malpractice_Case=NO; Appendicitis_Index=NO; Harm=NO,unclear
westlaw_100_full_text_items_for_appendectomy11_0030,"FRANK E. LIPP
v.
THE UNITED STATES",181 Ct.Cl. 355,2026,Is_Malpractice_Case=NO; Appendicitis_Index=NO; Harm=NO,unclear
westlaw_100_full_text_items_for_appendectomy11_0031,"Declined to Extend by (N G) v. U.S., Fed.Cl., August 20, 2010",153 Ct.Cl. 557,2026,Is_Malpractice_Case=NO; Appendicitis_Index=NO; Harm=NO,unclear
westlaw_100_full_text_items_for_appendectomy11_0032,"Pamela Jean EMIGH, Plaintiff,
v.
COMMISSIONER OF SOCIAL SECURITY, Defendant.",2015 WL 545833,2026,Is_Malpractice_Case=NO; Appendicitis_Index=NO; Harm=NO,unclear
westlaw_100_full_text_items_for_appendectomy11_0033,"Distinguished by Lauderdale v. Brady, W.D.Ky., March 4, 2025",821 Fed.Appx. 533,2026,Is_Malpractice_Case=NO; Appendicitis_Index=NO; Harm=NO,unclear
westlaw_100_full_text_items_for_appendectomy11_0034,"Not Followed as Dicta Planned Parenthood of Indiana and Kentucky, Inc. v. Adams, 7th Cir.(Ind.), August 27, 2019",305 F.3d 684,2026,Is_Malpractice_Case=NO; Appendicitis_Index=NO; Harm=NO,unclear
westlaw_100_full_text_items_for_appendectomy11_0035,"Sandra Gail CARRIN, as the Personal Representative of the Estate of Raymond Marshall Carrin, Plaintiff,
v.
Shauna Marie SMILEDGE, Joseph Jimenez, Md, and Paul Rolston, Defendants.",2024 WL 1483613,2026,Appendicitis_Index=NO; Harm=NO,unclear
westlaw_100_full_text_items_for_appendectomy11_0036,"Roger LAMARRE, Petitioner,
v.
SECRETARY OF HEALTH AND HUMAN SERVICES, Respondent.",2019 WL 7556396,2026,Is_Malpractice_Case=NO; Appendicitis_Index=NO; Harm=NO,unclear
westlaw_100_full_text_items_for_appendectomy11_0037,"Gene A. VELCHEK, Petitioner,
v.
SECRETARY OF HEALTH AND HUMAN SERVICES, Respondent.",2005 WL 2847451,2026,Is_Malpractice_Case=NO; Appendicitis_Index=NO; Harm=NO,unclear
westlaw_100_full_text_items_for_appendectomy11_0038,"Sherman BROWN, Plaintiff,
v.
Janice DeFRANK, et al., Defendants.",2006 WL 3313821,2026,Is_Malpractice_Case=NO; Appendicitis_Index=NO; Harm=NO,unclear
westlaw_100_full_text_items_for_appendectomy11_0039,"Robert D. ROSE, Jr., Plaintiff,
v.
Dean BORSOS, et al., Defendants.",2018 WL 3967673,2026,Is_Malpractice_Case=NO; Appendicitis_Index=NO; Harm=NO,unclear
westlaw_100_full_text_items_for_appendectomy11_0040,"FEDERAL TRADE COMMISSION and State of North Dakota, Plaintiffs,
v.
SANFORD HEALTH, SANFORD BISMARCK, and Mid Dakota Clinic, P.C., Defendants.",2017 WL 10810016,2026,Is_Malpractice_Case=NO; Appendicitis_Index=NO; Harm=NO,unclear
westlaw_100_full_text_items_for_appendectomy11_0041,"Douglas WRIGHT, Plaintiff,
v.
CORIZON HEALTH, INC., Betsy Spreeman, Dr. Keith Papendick, and Dr. Steven Bergman, Defendants.",2019 WL 2387189,2026,Is_Malpractice_Case=NO; Appendicitis_Index=NO; Harm=NO,unclear
westlaw_100_full_text_items_for_appendectomy11_0042,"Remanded by United States v. Gonzales, 10th Cir.(N.M.), July 26, 2021",2021 WL 847839,2026,Is_Malpractice_Case=NO; Appendicitis_Index=NO; Harm=NO,unclear
westlaw_100_full_text_items_for_appendectomy11_0043,"Ermelinda HERNANDEZ, Plaintiff,
v.
COMMISSIONER OF SOCIAL SECURITY, Defendant.",2015 WL 367143,2026,Is_Malpractice_Case=NO; Appendicitis_Index=NO; Harm=NO,incidental_history
westlaw_100_full_text_items_for_appendectomy11_0044,"Distinguished by AIX Specialty Insurance Company v. Big Limo, Inc., S.D.Ohio, July 1, 2021",694 F.Supp.2d 817,2026,Is_Malpractice_Case=NO; Appendicitis_Index=NO; Harm=NO,unclear
westlaw_100_full_text_items_for_appendectomy11_0045,"Jaaron M. STURGILL, II, Plaintiff,
v.
Rodney MUTRESPAW, et al., Defendants.",2024 WL 3925663,2026,Is_Malpractice_Case=NO; Appendicitis_Index=NO; Harm=NO,unclear
westlaw_100_full_text_items_for_appendectomy11_0046,"FREDERICK N.,1 Plaintiff,
v.
Frank J. BISIGNANO,2 Commissioner of Social Security, Defendant.",2025 WL 2896506,2026,Is_Malpractice_Case=NO; Appendicitis_Index=NO; Harm=NO,incidental_history
westlaw_100_full_text_items_for_appendectomy11_0047,"Elva MANDOKI, Plaintiff,
v.
CARSON–TAHOE REGIONAL MEDICAL CENTER, Defendant.",2012 WL 5465829,2026,Is_Malpractice_Case=NO; Appendicitis_Index=NO; Harm=NO,unclear
westlaw_100_full_text_items_for_appendectomy11_0048,"Cortney KAISER, individually, and as mother and next friend of C.B., a minor, Plaintiff,
v.
The MONROE CLINIC, INC., James J. Ehle, and Wisconsin Injured Patients and Families Compensation Fund, Defendants.",2020 WL 4364179,2026,Appendicitis_Index=NO; Harm=NO,unclear
westlaw_100_full_text_items_for_appendectomy11_0049,"Jennifer Lynn BERRY, Plaintiff,
v.
Carolyn W. COLVIN, Acting Commissioner of Social Security, Defendant.",2015 WL 106370,2026,Is_Malpractice_Case=NO; Appendicitis_Index=NO; Harm=NO,incidental_history
westlaw_100_full_text_items_for_appendectomy11_0050,"Distinguished by Russell v. U.S., Fed.Cir., May 15, 2003",50 Fed.Cl. 674,2026,Is_Malpractice_Case=NO; Appendicitis_Index=NO; Harm=NO,unclear
westlaw_100_full_text_items_for_appendectomy11_0051,"Distinguished by Ramos v. Secretary of Health and Human Services, Fed.Cl., June 3, 2024",2017 WL 6887368,2026,Is_Malpractice_Case=NO; Appendicitis_Index=NO; Harm=NO,unclear
westlaw_100_full_text_items_for_appendectomy11_0052,"Shirley Jane MILLER, Plaintiff,
v.
COMMISSIONER of Social Security, Defendant.",2015 WL 1510972,2026,Is_Malpractice_Case=NO; Appendicitis_Index=NO; Harm=NO,unclear
westlaw_100_full_text_items_for_appendectomy11_0053,"Cara L. SYLVESTER, Plaintiff,
v.
Michael J. ASTRUE, Commissioner of Social Security, Defendant.",2011 WL 13593223,2026,Is_Malpractice_Case=NO; Appendicitis_Index=NO; Harm=NO,unclear
westlaw_100_full_text_items_for_appendectomy11_0054,"Michael J. BETTUCCIO, Plaintiff,
v.
Carolyn W. COLVIN, Commissioner of Social Security, Defendant.",2013 WL 3188165,2026,Is_Malpractice_Case=NO; Appendicitis_Index=NO; Harm=NO,incidental_history
westlaw_100_full_text_items_for_appendectomy11_0055,"Mariann S. MASHBURN, et al., Plaintiffs,
v.
NATIONAL HEALTHCARE, INC., a corporation; et al., Defendants.",684 F.Supp. 679,2026,Is_Malpractice_Case=NO; Appendicitis_Index=NO; Harm=NO,unclear
westlaw_100_full_text_items_for_appendectomy11_0056,"Shateek Amin BILAL, Plaintiff,
v.
NEW YORK STATE DEPARTMENT OF CORRECTIONS, et al., Defendants.",2010 WL 2506988,2026,Is_Malpractice_Case=NO; Appendicitis_Index=NO; Harm=NO,incidental_history
westlaw_100_full_text_items_for_appendectomy11_0057,"LISA D.,1 Plaintiff,
v.
Andrew SAUL, Commissioner of Social Security, Defendant.",2020 WL 2067427,2026,Is_Malpractice_Case=NO; Appendicitis_Index=NO; Harm=NO,unclear
westlaw_100_full_text_items_for_appendectomy11_0058,"Denzil Louis DAVIS, Jr., Plaintiff,
v.
Nancy A. BERRYHILL, Acting Commissioner of Social Security, Defendant.",2017 WL 3326769,2026,Is_Malpractice_Case=NO; Appendicitis_Index=NO; Harm=NO,incidental_history
westlaw_100_full_text_items_for_appendectomy11_0059,"Sandra Gail CARRIN, as the Personal Representative of the Estate of Raymond Marshall Carrin, Plaintiff,
v.
Shauna Marie SMILEDGE, Joseph Jimenez, MD, and Paul Rolston, Defendants.",2024 WL 1298027,2026,Appendicitis_Index=NO; Harm=NO,unclear
westlaw_100_full_text_items_for_appendectomy11_0060,"Ronald STANDOWSKI, Plaintiff,
v.
Carolyn C. COLVIN, Acting Commissioner of Social Security, Defendant.",2015 WL 404659,2026,Is_Malpractice_Case=NO; Appendicitis_Index=NO; Harm=NO,unclear
westlaw_100_full_text_items_for_appendectomy11_0061,"Francisco Javier RAMOS, Plaintiff,
v.
Carolyn W. COLVIN, Acting Commissioner of Social Security, Defendant.",2015 WL 1469858,2026,Is_Malpractice_Case=NO; Appendicitis_Index=NO; Harm=NO,unclear
westlaw_100_full_text_items_for_appendectomy11_0062,"James E. GILMAN, Plaintiff,
v.
CORIZON MEDICAL SERVICES, et al., Defendants.",2019 WL 3936725,2026,Appendicitis_Index=NO; Harm=NO,delayed_diagnosis
westlaw_100_full_text_items_for_appendectomy11_0063,"Declined to Follow by Portlock v. Barnhart, D.Del., June 24, 2002",114 F.Supp.2d 465,2026,Is_Malpractice_Case=NO; Appendicitis_Index=NO; Harm=NO,unclear
westlaw_100_full_text_items_for_appendectomy11_0064,"Johanna D. AMIS, Plaintiff,
v.
Michael J. ASTRUE, Commissioner of Social Security, Defendant.",2010 WL 3040265,2026,Is_Malpractice_Case=NO; Appendicitis_Index=NO; Harm=NO,unclear
westlaw_100_full_text_items_for_appendectomy11_0065,"Affirmed in Part, Reversed in Part and Remanded by Estate of Majors v. Gerlach, 6th Cir.(Mich.), July 28, 2020",2019 WL 1242778,2026,Appendicitis_Index=NO; Harm=NO,unclear
westlaw_100_full_text_items_for_appendectomy11_0066,"Sandra Gail CARRIN, as the Personal Representative of the Estate of Raymond Marshall Carrin, Plaintiff,
v.
Shauna Marie SMILEDGE, Joseph Jimenez, MD, and Paul Rolston, Defendants.",2024 WL 1298134,2026,Appendicitis_Index=NO; Harm=NO,unclear
westlaw_100_full_text_items_for_appendectomy11_0067,"Franklin B. WENDT, Plaintiff,
v.
Carolyn W. COLVIN, Acting Commissioner of Social Security Administration Defendant.",2015 WL 4730180,2026,Is_Malpractice_Case=NO; Appendicitis_Index=NO; Harm=NO,unclear
westlaw_100_full_text_items_for_appendectomy11_0068,"Lisa Marie BENEDICT, Plaintiff,
v.
Andrew SAUL, Commissioner of Social Security, Defendant.",2020 WL 6083632,2026,Is_Malpractice_Case=NO; Appendicitis_Index=NO; Harm=NO,payment_dispute
westlaw_100_full_text_items_for_appendectomy11_0069,"RAYMOND W. BEVINS
v.
THE UNITED STATES",166 Ct.Cl. 547,2026,Is_Malpractice_Case=NO; Appendicitis_Index=NO; Harm=NO,payment_dispute
westlaw_100_full_text_items_for_appendectomy11_0070,"Lindy SELLS, Petitioner,
v.
SECRETARY OF HEALTH AND HUMAN SERVICES, Respondent.",2025 WL 551602,2026,Is_Malpractice_Case=NO; Appendicitis_Index=NO; Harm=NO,unclear
westlaw_100_full_text_items_for_appendectomy11_0071,"Jean DENIS, Plaintiff,
v.
N.Y.S. DEPARTMENT OF CORRECTIONAL SERVICES, et al., Defendants.",2006 WL 217926,2026,Is_Malpractice_Case=NO; Appendicitis_Index=NO; Harm=NO,unclear
westlaw_100_full_text_items_for_appendectomy11_0072,"Amended and Superseded by Cowher v. Pike County Correctional Facility, M.D.Pa., July 23, 2019",2019 WL 3240232,2026,Appendicitis_Index=NO; Harm=NO,unclear
westlaw_100_full_text_items_for_appendectomy11_0073,"Distinguished by Mayo Clinic v. United States, 8th Cir.(Minn.), July 25, 2025",113 T.C. 47,2026,Is_Malpractice_Case=NO; Appendicitis_Index=NO; Harm=NO,unclear
westlaw_100_full_text_items_for_appendectomy11_0074,"Myron COWHER, Plaintiff,
v.
PIKE COUNTY CORRECTIONAL FACILITY, et al., Defendants.",2019 WL 3302415,2026,Appendicitis_Index=NO; Harm=NO,delayed_diagnosis
westlaw_100_full_text_items_for_appendectomy11_0075,"Kari E. GREEN, Plaintiff,
v.
Andrew SAUL, Commissioner of Social Security, Defendant.",519 F.Supp.3d 478,2026,Is_Malpractice_Case=NO; Appendicitis_Index=NO; Harm=NO,unclear
westlaw_100_full_text_items_for_appendectomy11_0076,"Roger A. SCHWER, Plaintiff,
v.
COMMISSIONER OF SOCIAL SECURITY, Defendant.",2017 WL 6375797,2026,Is_Malpractice_Case=NO; Appendicitis_Index=NO; Harm=NO,unclear
westlaw_100_full_text_items_for_appendectomy11_0077,"Max FIFIELD Plaintiff,
v.
Nancy A. BERRYHILL, Acting Commissioner of the Social Security Administration Defendant.",2017 WL 5495696,2026,Is_Malpractice_Case=NO; Appendicitis_Index=NO; Harm=NO,incidental_history
westlaw_100_full_text_items_for_appendectomy11_0078,"Jerri A. COURTNEY, Plaintiff,
v.
Carolyn W. COLVIN, Acting Commissioner of Social Security, Defendant.",2015 WL 249344,2026,Is_Malpractice_Case=NO; Appendicitis_Index=NO; Harm=NO,unclear
westlaw_100_full_text_items_for_appendectomy11_0079,"W.A., M.S., Individually and on behalf of W.E., Plaintiffs-Counter-Defendants-Appellees-Cross-Appellants,
v.
HENDRICK HUDSON CENTRAL SCHOOL DISTRICT, Defendant-Counter-Claimant-Appellant-Cross-Appellee.†",927 F.3d 126,2026,Is_Malpractice_Case=NO; Appendicitis_Index=NO; Harm=NO,incidental_history
westlaw_100_full_text_items_for_appendectomy11_0080,"Susan YOUNG, Plaintiff,
v.
AETNA LIFE INSURANCE COMPANY and Children’s Hospital Boston Group Long Term Disability Plan, Defendant.",146 F.Supp.3d 313,2026,Is_Malpractice_Case=NO; Appendicitis_Index=NO; Harm=NO,payment_dispute
westlaw_100_full_text_items_for_appendectomy11_0081,"Distinguished by McClurkin v. Saul, D.Hawai’i, January 21, 2020",2019 WL 2719411,2026,Is_Malpractice_Case=NO; Appendicitis_Index=NO; Harm=NO,unclear
westlaw_100_full_text_items_for_appendectomy11_0082,"Johanna ORTEGA, Plaintiff,
v.
Nancy A. BERRYHILL, Acting Commissioner of Social Security, Defendant.",2017 WL 2334228,2026,Is_Malpractice_Case=NO; Appendicitis_Index=NO; Harm=NO,unclear
westlaw_100_full_text_items_for_appendectomy11_0083,"Barbara BILLER, Plaintiff,
v.
Michael J. ASTRUE, Commissioner of Social Security, Defendant.",2010 WL 3239389,2026,Is_Malpractice_Case=NO; Appendicitis_Index=NO; Harm=NO,unclear
westlaw_100_full_text_items_for_appendectomy11_0084,"Distinguished by Jeremy M. v. Berryhill, D.R.I., May 26, 2017",2013 WL 1245455,2026,Is_Malpractice_Case=NO; Appendicitis_Index=NO; Harm=NO,unclear
westlaw_100_full_text_items_for_appendectomy11_0085,,745 F.Supp.3d 869,2026,Is_Malpractice_Case=NO; Appendicitis_Index=NO; Harm=NO,unclear
westlaw_100_full_text_items_for_appendectomy11_0086,,1995 WL 241937,2026,Is_Malpractice_Case=NO; Appendicitis_Index=NO; Harm=NO,incidental_history
westlaw_100_full_text_items_for_appendectomy11_0087,"Rachelle H. JONES, Plaintiff,
v.
Michael J ASTRUE, Defendant.",2015 WL 364364,2026,Is_Malpractice_Case=NO; Appendicitis_Index=NO; Harm=NO,unclear
westlaw_100_full_text_items_for_appendectomy11_0088,"UNITED STATES of America, Plaintiff,
v.
Hannah C. DUGAN, Defendant.",797 F.Supp.3d 855,2026,Is_Malpractice_Case=NO; Appendicitis_Index=NO; Harm=NO,unclear
westlaw_100_full_text_items_for_appendectomy11_0089,"Kelly David RICE, Plaintiff,
v.
Andrew SAUL, Commissioner of Social Security Defendant.",2020 WL 9849781,2026,Is_Malpractice_Case=UNKNOWN; Appendicitis_Index=UNKNOWN; Harm=UNKNOWN,unclear
westlaw_100_full_text_items_for_appendectomy11_0090,"Harold BOTTGER et al., Plaintiffs,
v.
KING RESOURCES COMPANY, a Maine Corporation, et al., Defendants.",420 F.Supp. 610,2026,Is_Malpractice_Case=NO; Appendicitis_Index=NO; Harm=NO,unclear
westlaw_100_full_text_items_for_appendectomy11_0091,"Disagreed With by Poe by and through Poe v. Labrador, D.Idaho, December 26, 2023",2023 WL 4232308,2026,Is_Malpractice_Case=NO; Appendicitis_Index=NO; Harm=NO,unclear
westlaw_100_full_text_items_for_appendectomy11_0092,"Edward C. CELLA, II, Plaintiff,
v.
UNITED STATES of America, Defendant.",825 F.Supp. 1383,2026,Is_Malpractice_Case=NO; Appendicitis_Index=NO; Harm=NO,unclear
westlaw_100_full_text_items_for_appendectomy11_0093,"Report and Recommendation Adopted in Part, Rejected in Part by Pledger v. United States, N.D.W.Va., September 27, 2018",2018 WL 5905893,2026,Appendicitis_Index=NO; Harm=NO,unclear
westlaw_100_full_text_items_for_appendectomy11_0094,"Jacqueline BERG, Daughter and Executrix of the Estate of Marilyn Moss, Petitioner,
v.
SECRETARY OF HEALTH AND HUMAN SERVICES, Respondent.",2021 WL 6883495,2026,Is_Malpractice_Case=NO; Appendicitis_Index=NO; Harm=NO,unclear
westlaw_100_full_text_items_for_appendectomy11_0095,"Tami JONES, TRUSTEE FOR the heirs of Charley BOON, Deceased, Petitioner,
v.
SECRETARY OF HEALTH AND HUMAN SERVICES, Respondent.",2025 WL 2045820,2026,Is_Malpractice_Case=NO; Appendicitis_Index=NO; Harm=NO,incidental_history
westlaw_100_full_text_items_for_appendectomy11_0096,"Overruled by Planned Parenthood of Southeastern Pennsylvania v. Casey, U.S.Pa., June 29, 1992",106 S.Ct. 2169,2026,Is_Malpractice_Case=NO; Appendicitis_Index=NO; Harm=NO,unclear
westlaw_100_full_text_items_for_appendectomy11_0097,"Leighanne N. WELLER, Plaintiff,
v.
Carolyn W. COLVIN, Acting Commissioner of Social Security, Defendant.",2016 WL 4720451,2026,Is_Malpractice_Case=NO; Appendicitis_Index=NO; Harm=NO,unclear
